"rank","country","iq","pop2022"
"103","Afghanistan","82.1200","41128.7710"
"109","Albania","81.7500","2842.3210"
"144","Algeria","76","44903.2250"
"38","Andorra","95.2000","79.8240"
"146","Angola","75.1000","35588.9870"
"157","Antigua and Barbuda","70.4800","93.7630"
"78","Argentina","86.6300","45510.3180"
"65","Armenia","88.8200","2780.4690"
"17","Australia","99.2400","26177.4130"
"25","Austria","98.3800","8939.6170"
"84","Azerbaijan","84.8100","10358.0740"
"75","Bahamas","86.9900","409.9840"
"97","Bahrain","83.6000","1472.2330"
"150","Bangladesh","74.3300","171186.3720"
"50","Barbados","91.6000","281.6350"
"7","Belarus","101.6000","9534.9540"
"28","Belgium","97.4900","11655.9300"
"184","Belize","62.5500","405.2720"
"160","Benin","69.7100","13352.8640"
"46","Bermuda","93.4800","64.1840"
"68","Bhutan","87.9400","782.4550"
"139","Bolivia","76.5300","12224.1100"
"66","Bosnia and Herzegovina","88.5400","3233.5260"
"163","Botswana","69.4500","2630.2960"
"98","Brazil","83.3800","215313.4980"
"138","British Virgin Islands","76.6900","31.3050"
"74","Brunei","87.5800","449.0020"
"54","Bulgaria","90.9900","6781.9530"
"152","Burkina Faso","73.8000","22673.7620"
"155","Burundi","72.0900","12889.5760"
"15","Cambodia","99.7500","16767.8420"
"172","Cameroon","67.7600","27914.5360"
"16","Canada","99.5200","38454.3270"
"195","Cape Verde","52.5000","593.1490"
"102","Cayman Islands","82.2400","68.7060"
"183","Central African Republic","62.5500","5579.1440"
"126","Chad","78.8700","17723.3150"
"69","Chile","87.8900","19603.7330"
"5","China","104.1000","1425887.3370"
"100","Colombia","83.1300","51874.0240"
"136","Comoros","77.0700","836.7740"
"95","Cook Islands","83.9600","17.0110"
"67","Costa Rica","88.3400","5180.8290"
"37","Croatia","95.7500","4030.3580"
"96","Cuba","83.9000","11212.1910"
"47","Cyprus","93.3900","1251.4880"
"40","Czech Republic","94.9200","10493.9860"
"27","Denmark","97.8300","5882.2610"
"170","Djibouti","68.4100","1120.8490"
"176","Dominica","66.0300","72.7370"
"105","Dominican Republic","82.0500","11228.8210"
"178","DR Congo","64.9200","99010.2120"
"133","Ecuador","78.2600","18001"
"142","Egypt","76.3200","110990.1030"
"162","El Salvador","69.6300","6336.3920"
"167","Eritrea","68.7700","3684.0320"
"12","Estonia","100.7200","1326.0620"
"166","Eswatini","68.8700","1201.6700"
"169","Ethiopia","68.4200","123379.9240"
"88","Fiji","83.9600","929.7660"
"8","Finland","101.2000","5540.7450"
"32","France","96.6900","64626.6280"
"181","Gabon","62.9700","2388.9920"
"194","Gambia","52.6800","2705.9920"
"85","Georgia","84.5000","3744.3850"
"10","Germany","100.7400","83369.8430"
"190","Ghana","58.1600","33475.8700"
"55","Greece","90.7700","10384.9710"
"21","Greenland","98.8900","56.4660"
"121","Grenada","79.3400","125.4380"
"196","Guatemala","47.7200","17843.9080"
"192","Guinea","53.4800","13859.3410"
"99","Guyana","83.2300","808.7260"
"104","Haiti","82.1000","11584.9960"
"185","Honduras","62.1600","10432.8600"
"4","Hong Kong","105.3700","7488.8650"
"18","Hungary","99.2400","9967.3080"
"26","Iceland","98.2600","372.8990"
"143","India","76.2400","1417173.1730"
"130","Indonesia","78.4900","275501.3390"
"119","Iran","80.0100","88550.5700"
"61","Iraq","89.2800","44496.1220"
"39","Ireland","95.1300","5023.1090"
"49","Israel","92.4300","9038.3090"
"42","Italy","94.2300","59037.4740"
"191","Ivory Coast","58.1600","28160.5420"
"147","Jamaica","75.0800","2827.3770"
"1","Japan","106.4800","123951.6920"
"117","Jordan","80.7000","11285.8690"
"63","Kazakhstan","88.8900","19397.9980"
"145","Kenya","75.2000","54027.4870"
"91","Kiribati","83.9600","131.2320"
"129","Kuwait","78.6400","4268.8730"
"123","Kyrgyzstan","79.0900","6630.6230"
"114","Laos","80.9900","7529.4750"
"41","Latvia","94.7900","1850.6510"
"110","Lebanon","81.7000","5489.7390"
"165","Lesotho","68.8700","2305.8250"
"198","Liberia","45.0700","5302.6810"
"115","Libya","80.9200","6812.3410"
"9","Liechtenstein","101.0700","39.3270"
"36","Lithuania","95.8900","2750.0550"
"13","Luxembourg","99.8700","647.5990"
"14","Macau","99.8200","695.1680"
"137","Madagascar","76.7900","29611.7140"
"161","Malawi","69.7000","20405.3170"
"73","Malaysia","87.5800","33938.2210"
"118","Maldives","80.5400","523.7870"
"187","Mali","59.7600","22593.5900"
"51","Malta","91.2700","533.2860"
"94","Marshall Islands","83.9600","41.5690"
"188","Mauritania","59.7600","4736.1390"
"80","Mauritius","86.5600","1299.4690"
"70","Mexico","87.7300","127504.1250"
"92","Micronesia","83.9600","114.1640"
"58","Moldova","89.9800","3272.9960"
"53","Mongolia","91.0300","3398.3660"
"82","Montenegro","85.7800","627.0820"
"174","Morocco","67.0300","37457.9710"
"154","Mozambique","72.5000","32969.5180"
"52","Myanmar","91.1800","54179.3060"
"175","Namibia","66.1900","2567.0120"
"199","Nepal","42.9900","30547.5800"
"11","Netherlands","100.7400","17564.0140"
"44","New Caledonia","93.9200","289.9500"
"24","New Zealand","98.5700","5185.2880"
"193","Nicaragua","52.6900","6948.3920"
"156","Niger","70.8200","26207.9770"
"171","Nigeria","67.7600","218541.2120"
"22","North Korea","98.8200","26069.4160"
"108","North Macedonia","81.9100","2093.5990"
"113","Northern Mariana Islands","81.3600","49.5510"
"30","Norway","97.1300","5434.3190"
"128","Oman","78.7000","4576.2980"
"120","Pakistan","80","235824.8620"
"134","Palestine","77.6900","5250.0720"
"124","Panama","79","4408.5810"
"131","Papua New Guinea","78.4900","10142.6190"
"87","Paraguay","84.0400","6780.7440"
"112","Peru","81.4400","34049.5880"
"111","Philippines","81.6400","115559.0090"
"33","Poland","96.3500","39857.1450"
"48","Portugal","92.7700","10270.8650"
"107","Puerto Rico","81.9900","3252.4070"
"116","Qatar","80.7800","2695.1220"
"180","Republic of the Congo","62.9700","5970.4240"
"76","Romania","86.8800","19659.2670"
"35","Russia","96.2900","144713.3140"
"159","Rwanda","69.9500","13776.6980"
"158","Saint Kitts and Nevis","70.4800","47.6570"
"153","Saint Lucia","73.6800","179.8570"
"179","Saint Vincent and the Grenadines","63.4200","103.9480"
"90","Samoa","83.9600","222.3820"
"177","Sao Tome and Principe","65.2200","227.3800"
"141","Saudi Arabia","76.3600","36408.8200"
"135","Senegal","77.3700","17316.4490"
"59","Serbia","89.6000","7221.3650"
"127","Seychelles","78.7600","107.1180"
"197","Sierra Leone","45.0700","8605.7180"
"3","Singapore","105.8900","5975.6890"
"34","Slovakia","96.3200","5643.4530"
"23","Slovenia","98.6000","2119.8440"
"89","Solomon Islands","83.9600","724.2730"
"173","Somalia","67.6700","17597.5110"
"164","South Africa","68.8700","59893.8850"
"6","South Korea","102.3500","51815.8100"
"189","South Sudan","58.6100","10913.1640"
"45","Spain","93.9000","47558.6300"
"79","Sri Lanka","86.6200","21832.1430"
"125","Sudan","78.8700","46874.2040"
"56","Suriname","90.2900","618.0400"
"31","Sweden","97","10549.3470"
"19","Switzerland","99.2400","8740.4720"
"149","Syria","74.4100","22125.2490"
"2","Taiwan","106.4700","23893.3940"
"71","Tajikistan","87.7100","9952.7870"
"148","Tanzania","74.9500","65497.7480"
"64","Thailand","88.8700","71697.0300"
"132","Timor-Leste","78.4900","1341.2960"
"186","Togo","59.8300","8848.6990"
"93","Tonga","83.9600","106.8580"
"83","Trinidad and Tobago","85.6300","1531.0440"
"122","Tunisia","79.2200","12356.1170"
"77","Turkey","86.8000","85341.2410"
"81","Turkmenistan","85.8600","6430.7700"
"86","Turks and Caicos Islands","84.2900","45.7030"
"140","Uganda","76.4200","47249.5850"
"57","Ukraine","90.0700","39701.7390"
"106","United Arab Emirates","82.0500","9441.1290"
"20","United Kingdom","99.1200","67508.9360"
"29","United States","97.4300","338289.8570"
"72","Uruguay","87.5900","3422.7940"
"62","Uzbekistan","89.0100","34627.6520"
"43","Vanuatu","93.9200","326.7400"
"101","Venezuela","82.9900","28301.6960"
"60","Vietnam","89.5300","98186.8560"
"182","Yemen","62.8600","33696.6140"
"168","Zambia","68.4300","20017.6750"
"151","Zimbabwe","74.0100","16320.5370"